ID	X	Y	VOT	Score
26531740	4465991.5	5334462.5	11.52	-338.90042980889035
26628524	4467546.5	5336612.5	16.73	84.6136937281788
26658417	4463730.0	5332509.5	3.63	-382.82926120146374
26691130	4468232.5	5331538.5	12.2	35.510122994902574
26691261	4466125.5	5331315.0	4.29	-329.7356268157339
26693570	4465139.5	5334901.0	6.07	-321.26339819809493
26696719	4470141.946517644	5338581.665843665	3.77	-337.706855193431
26696720	4470141.946517644	5338581.665843665	3.77	-339.0672262114773
26696722	4470141.946517644	5338581.665843665	3.77	-337.4724466030263
26710753	4470896.0	5327902.5	10.92	83.86986249385856
26716528	4469009.0	5336631.5	7.34	-329.65466400632744
26725247	4465437.5	5331002.5	6.06	-312.81676456160176
26737443	4468987.0	5331267.0	1.68	-343.23572470461403
26738200	4477755.5	5332633.0	13.17	106.32723294700534
26738201	4477755.5	5332633.0	13.17	-347.2376594592606
26768583	4465316.0	5334906.5	0.26	118.01373783719832
26769049	4477578.5	5332589.5	21.7	111.97179710506896
26790176	4467815.5	5335654.0	7.53	91.44890848904858
26790583	4466824.0	5334674.0	11.48	-328.51880040464556
26790584	4466824.0	5334674.0	0.0	-335.1122704627467
26790781	4471377.0	5338365.5	6.37	-313.176828214553
26793058	4464242.0	5334301.0	5.52	110.37577117559805
26795573	4468640.5	5331483.5	4.29	-326.05564730708636
26803144	4468232.5	5331538.5	18.03	115.66778512639691
26807987	4467611.5	5335038.5	4.17	-325.0516428594869
26808788	4467964.5	5332576.5	6.43	125.38943072089184
26808914	4464566.0	5331416.0	1.78	-349.4388682641793
26809327	4465916.5	5336066.0	1.8	-327.8875981303015
26814681	4465935.5	5331231.5	14.0	-326.81794647421503
26841256	4471535.5	5331094.0	8.15	122.93019734981961
26845977	4473152.5	5327487.0	19.33	121.64728995496367
26863191	4473180.0	5337125.0	28.4	90.31556795558413
26863856	4465941.0	5336093.5	46.72	68.38537377368213
26871562	4468234.5	5338490.0	0.37	124.26809703173845
26880919	4467984.5	5340916.5	10.64	-381.91485190786875
26887705	4466770.842340299	5333066.291961809	0.41	-344.100524171483
26903727	4469834.0	5331155.5	5.7	-324.0472833606991
26905506	4469943.0	5338495.0	5.99	123.90293605920651
26914128	4468957.5	5336822.0	2.98	124.45168051444652
26917075	4467872.5	5332302.0	5.48	-319.9614433291817
26933106	4470918.5	5333071.5	8.83	118.53096269419174
26986814	4477319.197888911	5332827.204381688	6.94	114.67765145671457
26995486	4469023.5	5336892.5	5.28	-341.0687590010938
27008203	4471997.5	5335002.5	12.46	115.72674155814946
27010232	4468337.0	5335055.5	2.99	-324.32295161220827
27030498	4468127.0	5338083.0	0.0	-43.28177021903831
27044933	4469254.0	5330372.5	0.0	-362.9791252376738
27050544	4466967.0	5330646.0	9.46	99.1081039044541
27051499	4471095.0	5338383.5	0.0	-338.8196600718098
27056719	4468906.5	5338713.0	0.88	121.2880924269675
27072290	4463018.0	5327182.5	1.44	116.66160618938083
27088366	4461365.0	5327794.5	12.63	112.57046482498889
27092681	4470253.0	5331092.0	9.16	-322.00880925526184
27098904	4470967.5	5333084.0	14.74	-349.0541706843835
27120453	4468242.0	5331308.5	6.99	-315.6435985240321
27149052	4465391.5	5333085.5	13.64	-370.8645549728751
27160016	4465943.5	5331791.0	21.98	-337.7741443462544
27166063	4468829.5	5336736.5	5.06	115.61653205019988
27169370	4466531.5	5330599.0	2.52	2.512122374047152
27177849	4464956.0	5331088.0	6.65	-346.6800507161018
27178888	4461100.0	5328149.5	4.66	67.60109249514164
27179424	4466545.0	5332108.0	0.34	-330.0603915496528
27179425	4466545.0	5332108.0	0.34	108.73037056629488
27196598	4464725.46113447	5333744.618644142	28.23	120.17800863158891
27217556	4466478.5	5330608.0	8.26	-325.5756558963586
27236459	4468210.0	5340888.0	8.6	-392.79407703446554
27238700	4468810.5	5329973.5	7.51	-469.4065357161276
27277649	4463728.5	5333569.0	10.94	-346.2188824152724
27305231	4470813.0	5333900.0	11.04	-340.6499774428614
27332411	4471997.5	5335002.5	1.74	95.00848228826156
27339817	4468957.5	5336822.0	3.7	-339.2868907834718
27340041	4469081.5	5337705.5	3.35	-319.6857618381427
27348893	4468630.0	5331510.5	9.71	-317.2482459898608
27359048	4463827.0	5334370.0	12.43	106.29849124269427
27367425	4465609.5	5330429.5	4.28	118.0096240365168
27370254	4470616.9937197445	5328414.561499685	22.24	103.04386319566014
27379595	4468906.5	5338713.0	20.7	122.63039681007857
27429421	4468102.0	5336295.5	15.21	-343.05109569290073
27445140	4467329.0	5334327.0	0.25	-394.13591052082984
27445225	4466570.0	5334563.5	11.17	68.48056558457279
27461086	4465935.5	5331231.5	16.93	97.12897443959103
27493290	4464990.0	5328944.5	10.71	120.24515132791038
27502283	4469282.643137026	5330345.265639693	8.11	-332.4063783146763
27518969	4468210.0	5340888.0	21.37	-328.77759179330553
27536227	4468143.0	5334936.0	4.21	107.32906800984654
27548451	4466059.0	5333264.0	23.53	-316.1809302057843
27564566	4465979.5	5331786.5	5.74	88.28644987841373
27570300	4468636.0	5332758.0	30.74	-332.70578818095953
27578650	4461312.0	5338577.5	0.0	-336.0985388207268
27579935	4468653.0	5331453.5	1.61	62.95838158947413
27581445	4468906.5	5338713.0	7.65	119.08599886652965
27602493	4471178.5	5338681.0	8.37	120.44163002485617
27609177	4464748.0	5331573.0	2.4	-326.362106154362
27611477	4468630.0	5331510.5	0.0	-328.9603837944416
27619635	4469384.0	5330315.0	5.4	-334.6987348663675
27619637	4469384.0	5330315.0	5.4	-321.25755933450756
27641061	4464214.0	5333580.0	13.92	107.87510094502967
27678044	4467520.0	5331574.5	3.7	-321.3188910309898
27679380	4468946.0	5330774.5	9.31	-326.9947705723285
27695237	4469742.0	5332238.5	6.38	-319.5202882479389
27714263	4470320.5	5332891.5	17.64	-351.0927412523487
27714563	4467438.5	5335238.0	5.36	-321.1972521208657
27745497	4466080.5	5334603.5	2.39	112.99847523425382
27803022	4463746.0	5332915.5	0.24	-317.32652238227604
27820663	4466872.5	5331952.0	13.16	103.79661192070515
27837361	4459616.5	5334427.0	27.34	115.28629982657576
27840954	4461100.0	5328149.5	18.77	46.09638631828379
27846053	4468143.0	5334936.0	12.7	122.04194485025043
27859526	4467849.0	5335203.0	6.23	58.921760585987116
27875159	4468143.0	5334936.0	0.0	-400.9575661205104
27875160	4468143.0	5334936.0	0.0	-325.69250798264505
27878663	4468142.5	5336143.0	9.66	-347.78977286708897
27880711	4467699.5	5337129.0	2.76	-313.8224940933253
27905719	4466824.0	5334674.0	13.11	-351.85082273878993
27909088	4461156.0	5327915.0	11.59	54.45727712190093
27936841	4468833.0	5332710.0	9.02	55.849241625525636
27937195	4471754.0	5331637.5	0.0	121.88428013107922
27938546	4467991.5	5330460.5	7.05	-319.0195335490514
27941963	4467515.786013415	5331569.758670841	0.0	-333.29686619628393
27962967	4466297.5	5335445.0	0.07	-336.8545552135597
27981722	4469394.5	5330311.5	4.73	-322.12197891684207
28008795	4459932.0	5334202.5	3.81	113.60917691428692
28008802	4459932.0	5334202.5	3.81	-338.87929666475185
28021585	4471103.0	5338292.5	9.69	-321.5579010669478
28021586	4471103.0	5338292.5	9.69	-324.8396234447334
28021587	4471103.0	5338292.5	9.69	-335.38813004283134
28021892	4466478.0	5330591.0	10.06	-328.5284883134623
28021953	4467329.0	5334327.0	8.27	-413.99554446556965
28031638	4467447.0	5332278.0	8.67	113.27623668730772
28076797	4458045.5	5335036.5	1.27	122.26276637165479
28100296	4464163.5	5333523.5	6.13	-327.892933162944
28111597	4473180.5	5337142.5	19.44	121.79529406131225
28121110	4465266.0	5330841.5	1.99	-339.65281909576356
