ID	score	actType	legMode
26880577	1189.0145875078294	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26880579	1187.7547553283289	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26880919	1202.7809185549509	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26881418	1196.7825456946016	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26886277	1185.2854730478257	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26887377	1232.34196127201	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26902340	924.6343008623767	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26905504	1222.2677872106576	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26914028	1226.7299230744704	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26918639	1134.0995401894802	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26918640	1207.6470913251615	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26931742	1182.2201289255404	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26933106	1208.93680764181	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26933107	1196.2313080733913	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26934001	1204.8533569447275	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26934002	1206.0801612170928	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26936899	1188.5353666788722	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26951895	1201.1543075004124	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26956602	1203.288274804055	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26960595	1203.6773868641708	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26966195	1224.6183309325327	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26968115	1201.077676997071	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26970177	1178.1175406229886	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26973124	1202.7032177175306	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26981940	1234.331588912512	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26988047	1236.2917977601069	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26992807	1201.6416851581885	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26992808	1200.8660913502804	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26992920	1206.527383999087	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26996423	1202.658898466632	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27000398	1203.184354819842	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27003666	1204.5051452327368	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27006343	1199.2457177243173	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27006872	1211.31642641535	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27008203	1231.3793077500166	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27010839	1205.9130136147357	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27014091	1135.1646436039298	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27014400	1201.6233130018916	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27030498	1304.8318368079733	home	twoway_vehicle	
-	-	education	twoway_vehicle	
-	-	home		
27050544	1138.1181398245133	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27051499	1201.7555388741976	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27056719	1234.0498018331232	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27056720	1232.7122524868116	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27065446	1212.4626729167858	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27071639	1236.7257708665877	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27078343	1211.4234309287667	home	car	
-	-	other	twoway_vehicle	
-	-	home		
27092681	1203.8456370988163	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27093968	1220.3396070368324	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27102936	1206.305353376711	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27104043	1200.3943084437271	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27114762	1127.2631491496072	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27120453	1196.1938648588819	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27129189	1204.0126957311934	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27129519	1133.709573226837	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27138137	1197.00974468172	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27138138	1205.7564950702765	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27138870	1222.4131579327504	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27146767	1057.1774839567804	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27152217	1197.9642601516412	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27152218	1235.978455181278	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27155595	1239.1531580010096	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27159863	1203.195203889372	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27164255	1203.7208164048125	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27168629	1180.476491364775	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27176351	1228.346189685375	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27178170	1200.7728394385833	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27178172	1208.0924123825534	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27179424	1195.235426489841	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27180197	1201.2418493058028	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27186044	1420.6030325728386	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27210770	1222.6188091707763	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27217556	1204.593658653691	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27230595	1229.7455200903642	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27248587	1197.8324433307685	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27255739	1236.5836321423344	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27258130	1205.5119741812762	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27269838	1209.5442898825106	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27277649	1195.5251237260609	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27308508	1202.215263355374	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27317964	1206.0221115570507	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27338884	1228.7038655808472	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27348893	1136.5259498835849	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27349416	1208.018327385555	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27358290	1426.0449569789964	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27359048	1445.9393536421944	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27361282	1204.0877770241261	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27379595	1209.585928007888	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27382060	1235.184909946269	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
