ID	score	actType	legMode
27600950	1158.056112156849	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27602493	1458.5002983166096	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27609177	1201.4189225206683	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27636011	1179.6573920210233	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27636874	1501.2502441348402	home	walk	
-	-	education	twoway_vehicle	
-	-	home		
27694315	1144.0862889068303	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27708033	1161.4090140220114	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27714263	1203.5429486092642	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27714563	1204.2112904963867	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27724934	1446.4939588219443	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27764486	1202.5971704451208	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27809420	1234.2673147283674	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27820663	1450.5241329125388	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27855280	1237.9478493066238	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27858928	1351.2377458309006	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27859526	727.9421278020901	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27880711	1197.187178298551	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27901678	1480.109128345856	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27909088	1236.710020286484	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27941778	1205.944951411693	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28014482	1198.9459656566423	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28021585	1196.4413784115497	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28021586	1197.441331745012	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28021587	1160.049112578566	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28021953	1203.8933154677538	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28021955	1200.6287342082214	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28021956	1198.4813230727616	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28067659	1092.9058257648094	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
28111597	1221.7324270319232	home	car	
-	-	shopping	twoway_vehicle	
-	-	home		
28128468	1196.1473454176664	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28151382	1124.6420534152576	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28154651	1203.6034024366281	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28154652	1204.4935217658217	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28160401	1177.83604756826	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28160720	1436.5402015282814	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
28176764	1203.752789461243	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28332744	1133.20107186636	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28338904	1192.2038390708635	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28342276	1416.0486772967051	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
28479717	1185.337711011107	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28497556	1202.927806198195	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28507286	1204.1515413233217	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28576961	1480.9028651190063	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
28581372	1205.2904372093722	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28588940	1204.6919641294928	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28621337	1202.5680798484718	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28627733	1204.1771936606865	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28637897	1122.6555105708628	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28665783	1131.810585508349	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28670695	1117.32016457187	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28686595	1186.568795770764	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28709493	1057.5314518878606	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28720334	1184.3128787020553	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28721633	1201.8020579511053	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28846436	1199.3908783314953	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28908922	1236.4848224134676	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
28920154	1199.4774541886047	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28932186	1134.354429201648	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28960673	1206.516535630995	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
29015405	-526.7312733615588	home	twoway_vehicle	
-	-	education	twoway_vehicle	
-	-	home		
29051821	1182.6639360358456	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
