ID	score	actType	legMode
27410516	633.3722471575609	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27415808	1236.321830695541	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27445225	1389.8189556726506	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27461086	1204.857610590196	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27467747	1225.062243296089	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27493290	1204.2935429392778	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27518969	1195.6541138291502	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27564566	1411.1018241267802	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27570300	1203.23601791028	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27578650	1199.7490856270485	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27581444	1196.989018778225	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27581445	1197.9272592934449	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27609177	1201.4189225206683	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27611477	1201.5199188535998	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27619637	1151.0917431202497	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27641061	1420.210755413818	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27669776	1189.2880830065194	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27669894	328.76217389627254	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27694315	1144.0862889068303	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27695237	1205.0189929707383	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27703922	1181.4145880268911	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27714263	1203.5429486092642	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27714563	1204.2112904963867	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27724934	1446.4939588219443	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27745497	1193.4433691104318	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27810840	1124.2146619045188	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27820663	1450.5241329125388	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27840954	1123.905944790327	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27859526	727.9421278020901	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27878663	1201.3926872269637	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27880711	1197.187178298551	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27885453	1201.8396249848881	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27890637	1115.130013832406	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27900824	1238.7276179490505	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27901678	1480.109128345856	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27916966	1202.2844876932238	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27916969	1202.857797410474	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27932266	1107.1468539092896	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27936841	1204.9875748112167	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27937195	1203.8259530236724	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27941778	1205.944951411693	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27946037	1237.5666586734144	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27972643	1204.0846312065346	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27991679	1482.0508450452694	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
28008802	1198.4181749104443	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28014482	1198.9459656566423	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28021585	1196.4413784115497	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28021586	1197.441331745012	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28021587	1160.049112578566	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28021892	1202.6094719159003	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28031638	1236.5420892497932	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
28045874	1130.7017408380646	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28046087	1201.8373755100536	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28068296	1174.3546254575033	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28074329	1232.7985622521091	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
28089923	1237.025889946217	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
28100296	1133.3793692514137	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28104532	1198.6480546497821	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28111597	1221.7324270319232	home	walk	
-	-	shopping	twoway_vehicle	
-	-	home		
28121110	1196.5112003299776	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28124925	1237.4487716530377	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
28129711	1180.6071946849697	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28154652	1204.4935217658217	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28161672	1202.8008716725685	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28174939	1186.3447810802725	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28176764	1203.752789461243	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28236520	1477.6136618658313	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
28238167	1482.749726629321	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
28304073	1203.8948231726702	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28338904	1192.2038390708635	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28342276	1416.0486772967051	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
28384921	1130.3752551400428	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28477222	1077.214071096028	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28506439	1193.9451045076507	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28506440	1202.0358844695272	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28581372	1205.2904372093722	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28588940	1204.6919641294928	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28625941	1183.7966541520254	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28662617	1200.2023714014592	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28665783	1131.810585508349	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28677063	1203.988435325949	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28686595	1186.568795770764	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28704786	1442.9332309056429	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
28709493	1057.5314518878606	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28716384	1200.861320708441	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28721633	1201.8020579511053	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28751477	1183.263609746252	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
