ID	score	actType	legMode
29612570	1136.872373488422	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
29838398	1225.0617185016088	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
29874702	1202.1555120040382	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
31089442	1218.277687278268	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
31113577	1213.3879734964733	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
31179974	1198.1732419815003	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
31502089	1335.8662107999219	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
31743937	1356.292802162968	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
32022676	1191.7217458911923	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
32582061	1202.5585821149866	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
33046421	1203.8442576648129	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
33262080	1188.6284456604465	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
33624130	1134.9112251049323	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
35031325	1115.3751777759264	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
