ID	score
26458817	138.18910130654388
26459778	1418.2415987978786
26459922	739.5947246435178
26460076	729.5587023923845
26460330	1483.3666261698945
26460700	1475.6794084175995
26460701	1416.732915605135
26460828	1494.2267030546109
26460829	1480.1126697075663
26460830	1480.1120173797658
26461451	1411.220841345477
26461539	1414.2916355417806
26461540	1381.5165873855835
26464272	-569.9317586723558
26464668	1305.7530815529506
26464669	704.4013459759863
26467061	1310.8348350188808
26470704	1240.325241287294
26472023	1478.7060789633117
26473092	1237.709382473806
26479568	1169.6153070190849
26480216	1205.7233437778907
26480982	1198.413256267685
26480983	1179.3792153563807
26483248	1186.6891692457957
26491808	1198.1024713532188
26493228	1203.9253303231253
26494764	1237.3143997259035
26498758	1326.5674044254333
26499817	1210.4795619716451
26503032	1012.9275761546813
26503938	1039.9006188930855
26503989	1465.9269219123987
26503990	545.677486008974
26507201	1039.420707862673
26507202	1038.1716701139799
26511206	1045.820348594973
26512476	1088.9967873408164
26513520	167.83747879724558
26516651	1200.5552025859392
26520906	1198.170952307033
26523292	168.48631924055215
26526926	1203.0983595426728
26527238	1200.7161308872671
26527759	1206.0648542221015
26530816	168.89652891418538
26530818	167.84577361799398
26531737	1130.7387370080414
26531738	1173.2082708736464
26531740	1192.1199227677532
26536628	706.3365611165474
26541000	1402.3417557731627
26541001	1446.9057789880057
26542042	1213.3753526046155
26545334	779.6749857005857
26548056	1042.0410626309117
26560848	163.28653207126828
26560852	163.82413890944352
26560859	162.54625666192922
26564796	169.26100512935363
26565187	168.08836351377934
26572880	1204.0502697196337
26572881	1197.78571666996
26573557	167.88724658127498
26578027	1480.6970471733073
26583747	1235.1959301371487
26584261	1485.7713699226983
26584744	1040.4695989290456
26586779	1462.7450621785463
26587965	1413.9107638903372
26588136	1231.9796027506784
26588137	1239.0779189350499
26588138	1237.6902147929086
26588186	581.603120007219
26589077	1238.5230474930488
26589973	1419.52769686219
26591423	917.2665522971838
26591425	1234.8523689757264
26599122	1196.119630684316
26599769	1202.7918622315121
26612053	1342.6593675819768
26613226	167.76904362373517
26613231	167.33135065686895
26617363	1421.531740686038
26617364	1444.1411886028268
26617365	1444.7214998732622
26617773	1197.7533491488896
26625082	1491.7758251308342
26627499	1021.4486041656772
26627629	958.5425223903442
26627776	1455.994642976674
26628231	1390.8247668942151
26628408	1481.9861085195635
26628452	1499.3851567074598
26628524	1362.6213074256864
26628525	1486.9189077488647
26628526	1492.5245080014356
26628527	1479.5586844530367
26628528	1492.5109031447146
26628529	1453.5885666592771
26628530	1438.9241059707476
26629090	1496.3516360151903
26629297	1454.6289342533648
26629407	745.1419570435834
26629429	1488.7047685595167
26629777	1486.5949081003528
26629847	1425.707702220409
26629976	1475.3754086402912
26630077	1475.910965599157
26630169	947.870703435655
26630204	1299.120188651357
26630805	1487.685809847308
26630887	1465.3610454716347
26630924	1484.5370726833464
26631534	1484.87870395975
26631546	1489.5808550574138
26631636	1268.4716901945499
26631687	943.3186605757045
26655170	1492.4932258460826
26656004	168.6458671586382
26656018	1490.885870124962
26657300	1205.0889645358661
26657329	702.7881945216648
26657395	1198.6397775020032
26658133	1476.1417316834118
26658417	1482.8309388663583
26658984	1482.7890246318655
26658985	579.4306321557152
26659222	167.89968809969594
26659511	168.8198875858617
26661122	1493.0593623329244
26661123	1474.401313777669
26661130	930.1287223345844
26661131	815.3048662991
26661286	1495.2685575860664
