ID	X	Y	VOT	Score
26461540	4477578.5	5332589.5	12.2	59.842008998170876
26531738	4465991.5	5334462.5	14.18	-371.5211963716887
26531740	4465991.5	5334462.5	11.52	-338.90042980889035
26589077	4467301.5	5334294.5	12.62	-329.87770267895274
26675332	4466028.0	5334513.5	11.43	96.1003039932553
26693570	4465139.5	5334901.0	6.07	-321.26339819809493
26696719	4470141.946517644	5338581.665843665	3.77	-337.706855193431
26696720	4470141.946517644	5338581.665843665	3.77	-339.0672262114773
26699107	4468894.5	5330459.0	5.98	-332.5439749956071
26716528	4469009.0	5336631.5	7.34	-329.65466400632744
26725247	4465437.5	5331002.5	6.06	-312.81676456160176
26760266	4467704.5	5337147.5	14.08	-341.6502580701309
26768583	4465316.0	5334906.5	0.26	118.01373783719832
26769971	4469445.5	5330412.0	7.91	-326.33286333411667
26782308	4464242.0	5334301.0	5.52	75.27136245634026
26790584	4466824.0	5334674.0	0.0	-335.1122704627467
26790781	4471377.0	5338365.5	6.37	-313.176828214553
26795573	4468640.5	5331483.5	4.29	-326.05564730708636
26808788	4467964.5	5332576.5	6.43	125.38943072089184
26808914	4464566.0	5331416.0	1.78	-349.4388682641793
26809327	4465916.5	5336066.0	1.8	-327.8875981303015
26814681	4465935.5	5331231.5	14.0	-326.81794647421503
26826197	4463154.5	5333788.5	9.07	-327.12978577472825
26841100	4470001.362882931	5328435.6283215	9.2	-356.2193526973271
26841256	4471535.5	5331094.0	8.15	122.93019734981961
26871562	4468234.5	5338490.0	0.37	124.26809703173845
26917075	4467872.5	5332302.0	5.48	-319.9614433291817
26917175	4468059.5	5336285.0	10.01	-329.8090095944765
26933106	4470918.5	5333071.5	8.83	118.53096269419174
26934001	4468102.0	5336295.5	6.43	-342.71864084297187
26934002	4468102.0	5336295.5	9.91	-336.58690406581945
26944055	4473471.5	5331618.0	10.05	102.7712667685594
26951903	4467452.0	5335273.0	17.14	-351.0872452833965
26992920	4464748.0	5331573.0	4.86	72.9944746893336
26995486	4469023.5	5336892.5	5.28	-341.0687590010938
27010231	4468337.0	5335055.5	11.25	-341.1123371065629
27018570	4468015.5	5335620.0	19.02	-330.21010035036113
27029408	4471549.5	5331492.5	17.6	-364.5674676607042
27030498	4468127.0	5338083.0	0.0	-43.28177021903831
27044933	4469254.0	5330372.5	0.0	-362.9791252376738
27050544	4466967.0	5330646.0	9.46	99.1081039044541
27051499	4471095.0	5338383.5	0.0	-338.8196600718098
27055239	4457922.5	5334289.0	0.0	-333.50189609102466
27056719	4468906.5	5338713.0	0.88	121.2880924269675
27071639	4469073.5	5337393.5	8.47	-321.8958904407465
27129519	4466099.5	5332973.5	8.38	113.26084651913321
27139995	4464242.0	5334301.0	28.99	106.92913935923164
27148794	4467955.266971844	5335020.421662142	0.0	-374.1169129503134
27149052	4465391.5	5333085.5	13.64	-370.8645549728751
27155595	4469105.0	5331143.0	9.99	-324.7844165582072
27166063	4468829.5	5336736.5	5.06	115.61653205019988
27169370	4466531.5	5330599.0	2.52	2.512122374047152
27178170	4467438.5	5335238.0	15.54	-343.68874800029727
27178172	4467438.5	5335238.0	23.7	-322.9191866844473
27181130	4472918.0	5332151.0	38.03	-332.52348941125035
27217556	4466478.5	5330608.0	8.26	-325.5756558963586
27219414	4468850.0	5330646.0	8.95	-324.357484474104
27239397	4467409.5	5331590.5	20.35	-340.31699963650544
27255739	4466478.5	5330608.0	0.56	67.7929168578223
27258177	4467750.5	5337090.0	7.59	-327.2534199806223
27269838	4469835.5	5332107.0	12.93	124.96105211216461
27308063	4469879.5	5331012.5	9.04	-341.4902637388558
27349416	4465935.5	5331231.5	0.0	102.54976807799866
27349417	4465935.5	5331231.5	6.47	39.77043541020499
27379595	4468906.5	5338713.0	20.7	122.63039681007857
27382060	4471103.0	5338292.5	9.82	122.55104242890242
27410516	4467613.771839603	5331527.293134543	2.97	-327.2238129779141
27415808	4464385.5	5334710.5	1.24	116.22575728489909
27445225	4466570.0	5334563.5	11.17	68.48056558457279
27461086	4465935.5	5331231.5	16.93	97.12897443959103
27467747	4471419.0	5334779.5	3.17	112.3094473647236
27493290	4464990.0	5328944.5	10.71	120.24515132791038
27518969	4468210.0	5340888.0	21.37	-328.77759179330553
27564566	4465979.5	5331786.5	5.74	88.28644987841373
27570300	4468636.0	5332758.0	30.74	-332.70578818095953
27578650	4461312.0	5338577.5	0.0	-336.0985388207268
27581444	4468906.5	5338713.0	9.58	115.06839149737857
27581445	4468906.5	5338713.0	7.65	119.08599886652965
27609177	4464748.0	5331573.0	2.4	-326.362106154362
27611477	4468630.0	5331510.5	0.0	-328.9603837944416
27619637	4469384.0	5330315.0	5.4	-321.25755933450756
27641061	4464214.0	5333580.0	13.92	107.87510094502967
27669776	4468596.0	5332795.0	12.89	-327.465253373593
27669894	4461335.5	5328364.0	5.55	-340.3864949315668
27694315	4473015.5	5331940.5	1.72	114.84032543666893
27695237	4469742.0	5332238.5	6.38	-319.5202882479389
27703922	4467298.5	5334310.5	10.54	-328.4004978402015
27714263	4470320.5	5332891.5	17.64	-351.0927412523487
27714563	4467438.5	5335238.0	5.36	-321.1972521208657
27724934	4468993.0	5331098.0	8.52	48.36094481986851
27745497	4466080.5	5334603.5	2.39	112.99847523425382
27810840	4467789.0	5338378.0	5.25	-316.2809908518144
27820663	4466872.5	5331952.0	13.16	103.79661192070515
27840954	4461100.0	5328149.5	18.77	46.09638631828379
27859526	4467849.0	5335203.0	6.23	58.921760585987116
27878663	4468142.5	5336143.0	9.66	-347.78977286708897
27880711	4467699.5	5337129.0	2.76	-313.8224940933253
27885453	4467699.5	5337129.0	23.68	-325.95482224026256
27890637	4468176.5	5331417.0	0.0	-326.0078157555677
27900824	4471470.5	5333524.5	15.66	27.54420510054129
27901678	4467585.0	5331511.5	9.16	114.29091230057645
27916966	4468626.0	5332805.0	5.42	-333.18538170984255
27916969	4468626.0	5332805.0	5.42	-365.8171230112574
27932266	4473158.0	5332075.5	1.19	-361.52946377134447
27936841	4468833.0	5332710.0	9.02	55.849241625525636
27937195	4471754.0	5331637.5	0.0	121.88428013107922
27941778	4470930.5	5333345.0	12.3	-334.3092380874625
27946037	4467750.5	5334867.0	10.99	-323.08368526402296
27972643	4466125.5	5331315.0	11.65	-333.24397574357016
27991679	4467836.0	5338778.5	20.37	-369.2995484396114
28008802	4459932.0	5334202.5	3.81	-338.87929666475185
28014482	4468974.0	5336508.0	13.66	-344.19279672987227
28021585	4471103.0	5338292.5	9.69	-321.5579010669478
28021586	4471103.0	5338292.5	9.69	-324.8396234447334
28021587	4471103.0	5338292.5	9.69	-335.38813004283134
28021892	4466478.0	5330591.0	10.06	-328.5284883134623
28031638	4467447.0	5332278.0	8.67	113.27623668730772
28045874	4469441.5	5331949.5	4.84	-332.38933917980614
28046087	4468206.0	5331141.0	14.51	-342.3681415403696
28068296	4466478.0	5330591.0	13.73	106.0994031219374
28074329	4469382.5	5330283.5	3.3	-376.89410552031177
28089923	4469152.5	5330451.5	7.24	-326.1972484633242
28100296	4464163.5	5333523.5	6.13	-327.892933162944
28104532	4468970.5	5336485.0	10.66	-347.7672693507314
28111597	4473180.5	5337142.5	19.44	121.79529406131225
28121110	4465266.0	5330841.5	1.99	-339.65281909576356
28124925	4464748.0	5331573.0	5.88	122.5982165386306
28129711	4464654.0	5330495.0	7.58	-338.9770316454076
28154652	4467409.5	5331590.5	5.78	120.4425571447969
28161672	4469168.5	5331107.5	5.36	-337.2764718072647
28174939	4468630.0	5331510.5	0.99	-357.8183879716315
28176764	4471090.0	5331028.5	13.59	-318.8377021854409
28236520	4468640.5	5331483.5	5.95	-319.00147281194904
28238167	4474760.5	5329421.0	5.78	112.29162089321869
28304073	4467335.0	5334291.5	6.77	103.82942528162722
28338904	4469060.5	5337354.0	8.38	107.11551018517727
28342276	4467090.5	5335968.5	14.47	111.15836607510987
28384921	4468164.0	5330636.5	11.68	-319.9796047508606
28477222	4464191.2742062695	5334397.538140843	13.94	80.19620358562796
28506439	4468635.0	5332769.5	5.46	-335.6372241957322
28506440	4468635.0	5332769.5	5.46	-322.56554358937626
28581372	4469074.5	5331287.5	7.56	91.24129181292487
28588940	4465941.0	5336093.5	3.3	-369.7935817225722
28625941	4469168.5	5331107.5	3.95	-334.0460901135771
28662617	4468833.0	5332710.0	0.0	-353.95593559903136
28665783	4466830.0	5334689.5	6.9	-325.0085739108567
28677063	4463728.5	5333569.0	6.14	-339.28939082687555
28686595	4468905.0	5337504.5	13.02	84.67362662294235
28704786	4469012.5	5336665.5	13.85	97.75721714456229
28709493	4467335.0	5334291.5	0.87	-319.28947118768656
28716384	4468462.5	5331330.0	0.0	-324.2579934753485
28721633	4467409.5	5331590.5	15.95	-332.3416510433249
28751477	4468653.0	5331453.5	6.71	-322.4496964045232
28789577	4469410.0	5335769.5	8.4	-400.3501411582998
28852763	4466515.0	5334576.5	9.64	-411.1591317943937
28869916	4469405.5	5330308.0	4.76	104.26899532517908
28881428	4466270.0	5333265.0	0.12	-483.1488606409966
28923301	4466270.0	5333265.0	8.09	97.18311089452357
28932186	4468234.5	5338490.0	11.96	-320.1911879865837
28960673	4470984.0	5333230.5	10.16	-343.537423300874
28971239	4469394.5	5330311.5	0.0	-329.7717612255442
28971240	4469394.5	5330311.5	5.85	-333.0580181119811
