ID	X	Y	VOT	Score
26531737	4465991.5	5334462.5	11.52	-329.98675224451665
26531740	4465991.5	5334462.5	11.52	-338.90042980889035
26589077	4467301.5	5334294.5	12.62	-329.87770267895274
26628524	4467546.5	5336612.5	16.73	84.6136937281788
26691261	4466125.5	5331315.0	4.29	-329.7356268157339
26693570	4465139.5	5334901.0	6.07	-321.26339819809493
26710753	4470896.0	5327902.5	10.92	83.86986249385856
26712590	4471321.0	5331052.0	13.75	96.24724004746211
26725100	4466746.5	5334992.0	10.54	-383.9255660579706
26725247	4465437.5	5331002.5	6.06	-312.81676456160176
26732852	4467758.0	5336264.0	8.05	-327.08921053018867
26738200	4477755.5	5332633.0	13.17	106.32723294700534
26738201	4477755.5	5332633.0	13.17	-347.2376594592606
26760170	4467989.5	5330799.5	8.26	-315.73907372473184
26769049	4477578.5	5332589.5	21.7	111.97179710506896
26769971	4469445.5	5330412.0	7.91	-326.33286333411667
26785687	4468909.5	5338644.5	11.38	121.96723609807154
26788238	4465916.5	5336066.0	1.8	-334.11353197897336
26790781	4471377.0	5338365.5	6.37	-313.176828214553
26808788	4467964.5	5332576.5	6.43	125.38943072089184
26808789	4467964.5	5332576.5	6.43	-396.5822778011502
26808914	4464566.0	5331416.0	1.78	-349.4388682641793
26809327	4465916.5	5336066.0	1.8	-327.8875981303015
26812631	4468163.0	5335010.5	2.93	-437.0004988372458
26814681	4465935.5	5331231.5	14.0	-326.81794647421503
26815767	4465391.5	5333085.5	0.99	-347.39137727476714
26835393	4468946.0	5330774.5	9.15	-326.14099113528954
26841256	4471535.5	5331094.0	8.15	122.93019734981961
26859171	4469943.0	5338495.0	7.27	51.914535203943394
26863191	4473180.0	5337125.0	28.4	90.31556795558413
26871562	4468234.5	5338490.0	0.37	124.26809703173845
26880919	4467984.5	5340916.5	10.64	-381.91485190786875
26903784	4473100.5	5327918.5	18.71	114.06895723625962
26914128	4468957.5	5336822.0	2.98	124.45168051444652
26917175	4468059.5	5336285.0	10.01	-329.8090095944765
26921647	4468623.226487304	5332790.492403411	7.37	-319.5506916476596
26923421	4462409.5	5333455.0	5.16	106.67996440240701
26933106	4470918.5	5333071.5	8.83	118.53096269419174
26937102	4467977.5	5332542.0	7.2	115.64847964585016
26942319	4472904.212999666	5336191.977253717	5.9	116.16597448399115
26951903	4467452.0	5335273.0	17.14	-351.0872452833965
26992920	4464748.0	5331573.0	4.86	72.9944746893336
26995486	4469023.5	5336892.5	5.28	-341.0687590010938
27006342	4463745.5	5333145.5	16.45	-378.3963420897304
27010839	4467980.0	5336245.0	0.97	-324.1474963716683
27030498	4468127.0	5338083.0	0.0	-43.28177021903831
27050544	4466967.0	5330646.0	9.46	99.1081039044541
27051499	4471095.0	5338383.5	0.0	-338.8196600718098
27056719	4468906.5	5338713.0	0.88	121.2880924269675
27076531	4465518.5	5331647.5	10.1	-328.9538861859181
27098904	4470967.5	5333084.0	14.74	-349.0541706843835
27104043	4461482.0	5338498.0	26.85	-336.5440420450184
27135234	4466805.0	5333291.5	0.0	-392.5385430132674
27149052	4465391.5	5333085.5	13.64	-370.8645549728751
27152022	4467667.0	5333217.5	5.59	-386.9427657969679
27166063	4468829.5	5336736.5	5.06	115.61653205019988
27178172	4467438.5	5335238.0	23.7	-322.9191866844473
27186044	4467657.0	5333247.0	11.34	71.03639994189031
27217556	4466478.5	5330608.0	8.26	-325.5756558963586
27248587	4473100.5	5327918.5	7.62	-332.5178000053952
27258177	4467750.5	5337090.0	7.59	-327.2534199806223
27339817	4468957.5	5336822.0	3.7	-339.2868907834718
27357950	4465785.5	5331948.5	8.0	-324.9686043709461
27358290	4464919.5	5331377.0	16.74	74.0497442287435
27367425	4465609.5	5330429.5	4.28	118.0096240365168
27379595	4468906.5	5338713.0	20.7	122.63039681007857
27382060	4471103.0	5338292.5	9.82	122.55104242890242
27387271	4467696.5	5337109.5	0.67	-327.73731273788445
27397456	4468357.5	5330868.0	10.58	-333.1911241151159
27406184	4465115.0	5333292.0	11.61	107.29843052801122
27415808	4464385.5	5334710.5	1.24	116.22575728489909
27418930	4468885.5	5338839.0	11.07	116.1749083120538
27429421	4468102.0	5336295.5	15.21	-343.05109569290073
27437350	4468462.5	5331330.0	6.1	-378.7316598254298
27445225	4466570.0	5334563.5	11.17	68.48056558457279
27493290	4464990.0	5328944.5	10.71	120.24515132791038
27502285	4469282.643137026	5330345.265639693	8.11	-336.7556607351305
27518969	4468210.0	5340888.0	21.37	-328.77759179330553
27526704	4466837.0	5334703.0	16.56	-384.2411327514487
27564862	4468384.5	5335173.0	58.17	-401.59236645964637
27578650	4461312.0	5338577.5	0.0	-336.0985388207268
27581443	4468906.5	5338713.0	7.65	-389.79600176006505
27581445	4468906.5	5338713.0	7.65	119.08599886652965
27591679	4467311.0	5336582.0	8.86	-367.7175588064482
27609177	4464748.0	5331573.0	2.4	-326.362106154362
27619637	4469384.0	5330315.0	5.4	-321.25755933450756
27630973	4473568.0	5332246.5	5.28	-349.1429853070814
27669894	4461335.5	5328364.0	5.55	-340.3864949315668
27700195	4468845.5	5332726.5	0.27	-332.4863993154745
27703922	4467298.5	5334310.5	10.54	-328.4004978402015
27714263	4470320.5	5332891.5	17.64	-351.0927412523487
27714563	4467438.5	5335238.0	5.36	-321.1972521208657
27724934	4468993.0	5331098.0	8.52	48.36094481986851
27745497	4466080.5	5334603.5	2.39	112.99847523425382
27770972	4467754.0	5337113.0	0.0	-325.10705510479306
27779882	4463018.0	5327182.5	16.16	124.4938011994807
27803022	4463746.0	5332915.5	0.24	-317.32652238227604
27820663	4466872.5	5331952.0	13.16	103.79661192070515
27859526	4467849.0	5335203.0	6.23	58.921760585987116
27878389	4465210.04474559	5330848.158009368	10.98	-342.4608316885254
27880711	4467699.5	5337129.0	2.76	-313.8224940933253
27889513	4463155.0	5333658.5	2.64	103.70451828543644
27894177	4469458.0	5328621.5	7.52	0.08941267996343072
27932266	4473158.0	5332075.5	1.19	-361.52946377134447
27936841	4468833.0	5332710.0	9.02	55.849241625525636
27937195	4471754.0	5331637.5	0.0	121.88428013107922
27941778	4470930.5	5333345.0	12.3	-334.3092380874625
27946745	4467949.5	5331996.0	12.59	87.63159219352714
27972643	4466125.5	5331315.0	11.65	-333.24397574357016
27981722	4469394.5	5330311.5	4.73	-322.12197891684207
28008802	4459932.0	5334202.5	3.81	-338.87929666475185
28014482	4468974.0	5336508.0	13.66	-344.19279672987227
28021585	4471103.0	5338292.5	9.69	-321.5579010669478
28021586	4471103.0	5338292.5	9.69	-324.8396234447334
28021587	4471103.0	5338292.5	9.69	-335.38813004283134
28027346	4467750.5	5337090.0	28.71	-379.9826850504951
28045874	4469441.5	5331949.5	4.84	-332.38933917980614
28068296	4466478.0	5330591.0	13.73	106.0994031219374
28104532	4468970.5	5336485.0	10.66	-347.7672693507314
28154652	4467409.5	5331590.5	5.78	120.4425571447969
28160720	4469894.5	5332290.5	0.0	2.6020503823206624
28176764	4471090.0	5331028.5	13.59	-318.8377021854409
28254074	4468630.0	5331510.5	15.92	-326.19203760447107
28286168	4467185.5	5331561.0	14.49	111.99723299810142
28300745	4467836.0	5338778.5	20.37	-342.03622075077817
28304075	4467335.0	5334291.5	6.77	104.56559474815839
28338904	4469060.5	5337354.0	8.38	107.11551018517727
28339980	4469608.0	5328811.5	8.15	123.21074450735624
28342276	4467090.5	5335968.5	14.47	111.15836607510987
28497556	4468613.5	5332794.0	14.24	-343.073489692075
28506439	4468635.0	5332769.5	5.46	-335.6372241957322
28560815	4468630.0	5331510.5	16.17	-423.7721654626591
28563091	4467699.5	5337129.0	14.3	-339.4696224684621
28576961	4469674.618913872	5337746.158517759	21.78	110.36306542294126
28581372	4469074.5	5331287.5	7.56	91.24129181292487
28588940	4465941.0	5336093.5	3.3	-369.7935817225722
28625941	4469168.5	5331107.5	3.95	-334.0460901135771
28627734	4467329.0	5334327.0	7.42	29.099056795141188
28637897	4468140.5	5334976.5	7.33	-314.8362405785349
28662617	4468833.0	5332710.0	0.0	-353.95593559903136
28665783	4466830.0	5334689.5	6.9	-325.0085739108567
28687111	4469929.0	5328447.5	17.05	-373.58460221516134
28704786	4469012.5	5336665.5	13.85	97.75721714456229
28716384	4468462.5	5331330.0	0.0	-324.2579934753485
28720334	4468845.5	5332726.5	8.16	-342.7750368566025
28721633	4467409.5	5331590.5	15.95	-332.3416510433249
28750118	4464151.5	5334401.5	9.54	117.88911181618535
28751477	4468653.0	5331453.5	6.71	-322.4496964045232
