1209557,39384,86400,45.58,2.31
1209558,42606,259200,16.44,2.5
1209651,37984,86400,43.96,2.23
1209652,37812,259200,14.59,2.22
1209653,6521,345600,1.89,0.38
1209654,399,172800,0.23,0.02
1210261,32609,86400,37.74,1.91
1210262,56001,172800,32.41,3.29
1210263,27159,172800,15.72,1.59
1210264,31102,172800,18,1.82
1210266,28966,172800,16.76,1.7
1210267,5415,86400,6.27,0.32
1210268,2989,172800,1.73,0.18
1210269,5535,172800,3.2,0.32
1210270,16190,172800,9.37,0.95
1210361,51588,259200,19.9,3.03
1210362,15324,345600,4.43,0.9
1210363,5889,172800,3.41,0.35
1210364,26603,345600,7.7,1.56
1210367,6080,86400,7.04,0.36
1210368,10273,172800,5.95,0.6
1210463,45752,172800,26.48,2.68
1210464,565,86400,0.65,0.03
1210466,20240,259200,7.81,1.19
1210467,63670,345600,18.42,3.74
1210468,7714,172800,4.46,0.45
1210469,18832,172800,10.9,1.1
1210471,70481,172800,40.79,4.13
1210561,38496,345600,11.14,2.26
1210661,2076,259200,0.8,0.12
1210861,82256,172800,47.6,4.83
1211161,12651,259200,4.88,0.74
1212062,32826,259200,12.66,1.93
1212063,51217,345600,14.82,3
1212065,19375,259200,7.47,1.14
1212066,52235,172800,30.23,3.06
1212161,20714,86400,23.97,1.22
1212163,16877,172800,9.77,0.99
1212164,5707,259200,2.2,0.33
1212165,3896,172800,2.25,0.23
1212261,38593,259200,14.89,2.26
1212263,20281,172800,11.74,1.19
1212264,1026,259200,0.4,0.06
1213161,54000,259200,20.83,3.17
1213162,16388,172800,9.48,0.96
1213163,3804,259200,1.47,0.22
1213164,11692,172800,6.77,0.69
1213165,47674,172800,27.59,2.8
1213166,10521,259200,4.06,0.62
1213168,10803,172800,6.25,0.63
1213261,9137,259200,3.53,0.54
1213262,20376,172800,11.79,1.2
1213264,21854,172800,12.65,1.28
1213265,10255,259200,3.96,0.6
1213266,4259,259200,1.64,0.25
1213268,21188,172800,12.26,1.24
1213269,12096,86400,14,0.71
1213361,62548,172800,36.2,3.67
1213362,13384,172800,7.75,0.79
1213363,25352,172800,14.67,1.49
1213364,6563,172800,3.8,0.39
1213366,825,259200,0.32,0.05
1213367,14367,259200,5.54,0.84
1213368,26593,259200,10.26,1.56
1213369,62407,259200,24.08,3.66
1213370,36021,172800,20.85,2.11
1213371,16729,172800,9.68,0.98
1213372,40823,172800,23.62,2.39
1213373,33048,345600,9.56,1.94
