1209557	1
1209558	3
1209651	1
1209652	3
1209653	4
1209654	2
1210261	1
1210262	2
1210263	2
1210264	2
1210266	2
1210267	1
1210268	2
1210269	2
1210270	2
1210361	3
1210362	4
1210363	2
1210364	4
1210366	1
1210367	1
1210368	2
1210463	2
1210464	1
1210466	3
1210467	4
1210468	2
1210469	2
1210470	2
1210471	2
1210561	4
1210661	3
1210762	2
1210763	3
1210764	1
1210861	2
1211161	3
1212062	3
1212063	4
1212065	3
1212066	2
1212161	1
1212162	3
1212163	2
1212164	3
1212165	2
1212261	3
1212263	2
1212264	3
1213161	3
1213162	2
1213163	3
1213164	2
1213165	2
1213166	3
1213167	2
1213168	2
1213261	3
1213262	2
1213263	3
1213264	2
1213265	3
1213266	3
1213267	2
1213268	2
1213269	1
1213361	2
1213362	2
1213363	2
1213364	2
1213365	2
1213366	3
1213367	3
1213368	3
1213369	3
1213370	2
1213371	2
1213372	2
1213373	4
