27370858,319,5.22
32825825,240,8.98
29192138,356,21.45
27518969,171,21.37
27941778,135,12.3
29466384,663,13.01
28704786,234,13.85
28919026,127,10.16
27711424,305,3.01
29835307,144,0
28294756,266,0
27255739,164,0.56
27711422,305,16.35
27840954,297,18.77
33681735,485,5.67
33681734,485,0
27884882,98,14.2
28168860,233,11.41
27071639,665,8.47
27954718,439,9.81
27760840,305,8.73
28008802,146,3.81
32107184,857,17.33
29192140,356,21.45
29312807,364,5.75
26857866,370,42.32
26944055,843,10.05
27559392,143,15.39
27210723,164,7.65
26694219,433,20.09
32870411,318,11.64
27098904,266,14.74
27502283,139,8.11
33262080,98,0
26760170,2986,8.26
27937051,136,10.97
29428095,247,6.48
27812228,300,0.82
29414923,612,6.7
27239398,98,20.35
27899806,89,6.86
26951903,2266,17.14
28005764,1076,0.74
29776267,318,11.64
29012704,250,1.84
26753629,4248,3.9
27619637,724,5.4
32674453,288,20.09
26985909,91,6.26
28154651,98,5.78
28154652,98,5.78
28151382,1505,24.61
27295278,342,4.09
26936899,1172,11.55
29339050,302,0.37
27467290,278,10.76
27619640,89,12.38
29012702,250,1.84
28021956,127,8.27
28623142,344,2.64
29466065,1148,14.02
27072893,1133,11.76
27415808,557,1.24
26923421,406,5.16
26785687,1,11.38
26739277,374,12.33
32285566,91,6.51
32169882,127,40.52
27723100,253,16.01
29688821,944,6.56
27005815,113,2.33
27723101,253,0.99
28810916,378,11.65
27745497,206,2.39
31386721,426,3.68
26808788,1658,6.43
27014400,558,6.07
26696722,254,3.77
29183476,308,9.28
29317060,135,15.06
26671440,263,4.38
26695510,248,11.26
28763578,314,14.59
27941963,839,0
28053567,391,6.08
27579935,161,1.61
26693570,3112,6.07
28749374,284,21.69
27714502,305,10.34
32181884,351,2.68
28923301,660,8.09
27509097,378,28.45
27714503,305,10.34
28057804,301,13.94
28479717,297,3.19
32921140,185,34.37
27445065,1,0
28750118,1,9.54
26811922,302,2.14
26695508,248,7.08
33025684,365,11.21
26691261,857,4.29
27903046,135,12.3
27514106,169,10.51
28920154,122,19.69
28031309,669,10.16
28751477,161,6.71
27217556,67,8.26
27023146,456,4.92
28049067,7597,12.85
28416528,351,24.58
27241425,118,3.37
28415797,326,17.13
29550622,305,5.23
26695509,248,7.08
26696719,254,3.77
28587458,356,8.74
34889448,251,8.15
27092681,266,9.16
27206557,352,23.23
27164892,266,14.67
27704722,957,6.12
27021081,1,1.86
26691130,409,12.2
26829324,92,5.03
28553452,361,2.65
26996423,326,13.48
32982380,379,16.97
27513012,941,7.85
26933106,266,8.83
32265607,305,12.93
27000399,316,3.84
32099644,243,0.83
27468661,305,6.24
26831630,375,4.25
28439751,98,15.95
27750518,318,1.61
27751844,387,3.45
26793155,368,12.33
27775933,596,16.98
26769049,1,21.7
27875548,338,10.93
26889733,835,9.31
26718933,405,6.38
27308508,259,11.38
28053912,290,6.56
28216613,709,5.51
27050544,1,9.46
27669894,326,5.55
27946037,699,10.99
34974198,115,2.54
29083410,436,9.55
27982110,318,39.86
27305231,141,11.04
26800101,300,1.28
28068296,91,13.73
27601862,127,2.98
27186333,427,6.39
34960688,247,3.89
31743937,534,3.08
27248587,290,7.62
29145679,178,0
32358955,364,51.27
28046488,352,14.16
28176764,957,13.59
26725247,275,6.06
29612713,1219,17.34
27264705,615,5.29
26914128,107,2.98
29374788,121,11.98
27714563,142,5.36
26716528,234,7.34
27564566,113,5.74
29662293,701,13.8
27600628,300,37.56
27418930,259,11.07
29609312,243,15.07
26760447,366,7.86
26917884,269,0
27468418,391,5.97
28122562,877,20.58
28121111,205,129.3
27452087,300,15.59
26841100,244,9.2
28960673,127,10.16
26736112,174,4.65
28352417,193,5.88
26736115,174,4.65
31072036,297,33.17
29017550,234,16.74
26880919,149,10.64
29197333,196,32.16
28376733,405,5.74
27414442,414,5.13
34327119,145,1.77
27445225,382,11.17
27340041,615,3.35
30265930,6483,3.69
28017731,678,8.03
29058491,795,3.16
29659945,256,16.49
26843420,389,10.16
27003114,311,1.45
29916963,378,22.37
28563787,223,4.13
32256056,351,12.2
29866529,383,4.23
28563789,223,4.13
27258130,284,6.42
27332411,446,1.74
26814940,361,0
27694923,1034,6.73
31502089,1123,8.42
27726435,294,1.82
26770364,683,5.51
28631277,498,20.45
32796888,165,6.55
27809420,117,9.32
27979046,205,1.52
31179974,330,4.58
32796891,165,15.03
29013173,331,3.54
27482412,297,10.49
27401241,266,14.74
28931088,352,15.43
27880711,165,2.76
29201599,127,4.51
27102936,278,11.74
27935590,620,7.8
29058392,218,6.38
26841256,368,8.15
29690404,127,4.32
27329469,584,7.03
28176452,288,15.95
26845977,318,19.33
29600526,365,25.28
26738200,201,13.17
26903435,511,14.08
27129189,382,30.54
26738201,201,13.17
28811623,217,12.38
27641061,259,13.92
28176454,288,6.88
28934487,392,8.46
28600676,238,6.61
28588940,90,3.3
28932186,319,11.96
31426869,356,14.69
27753936,290,3.66
27633340,211,0
29388617,364,14.52
29885260,386,11.17
28304075,127,6.77
27176351,445,14.19
28763835,429,14.98
28869916,178,4.76
26905504,1,5.99
27889513,196,2.64
27315081,395,16.62
28685029,296,7.26
27117050,387,15.22
29028763,364,12.07
27999082,324,2.66
28686595,119,13.02
27714263,639,17.64
26531737,132,11.52
27714140,491,5.95
33624130,528,16.26
27858928,522,14.98
28686596,119,13.02
32286062,371,6.62
27397893,259,7.63
32394521,297,5.61
31574958,2006,6.86
27397896,259,7.63
26749823,296,10.3
31420147,162,0.37
28546281,382,0.25
28546282,382,0.25
28151723,98,14.04
26884573,91,7.06
29072135,301,8.08
28665783,330,6.9
28161672,191,5.36
28560369,316,15.39
26992808,316,4.03
27723099,391,0.99
27260533,334,8.25
32371751,747,2.44
27911786,993,18.77
26964562,117,2.93
27723097,391,0.99
27495069,178,3.61
34462705,142,7.04
27382061,127,9.82
27317964,1266,9.34
29838166,127,20.2
28927661,193,8.24
29040308,515,11.65
28301823,301,5.64
31091680,336,5.66
32289422,146,1.3
27010839,102,0.97
33937858,283,2.06
26790176,537,7.53
28344632,2545,32.21
27073240,632,75.25
27609177,141,2.4
28597553,91,11.72
27117043,387,15.22
28077377,815,9.93
29838398,681,6.75
26973124,310,8.08
34873633,196,28.61
28581141,318,13.94
29694535,458,23.89
27376986,345,1.66
28981081,359,19.11
27038380,345,8.71
34731144,297,20.93
34668948,835,11.5
27581445,118,7.65
27581443,914,7.65
26914028,364,8.42
27581444,118,9.58
27657341,421,3.95
27678044,193,3.7
34898747,351,21.92
32735302,1175,6.92
35171953,1011,9.07
27403032,408,14.81
31113577,365,11.5
28111597,786,19.44
27056720,914,0.88
27006342,1272,16.45
29349679,146,3.86
32059672,831,9.72
29420913,364,25.39
31882953,123,12.32
34688641,391,8.02
28338904,126,8.38
31882954,123,6.32
27706330,368,12.63
28836641,450,0.56
29151115,314,0.88
29612570,51,3.36
28112554,587,29.56
28342043,234,12.3
26726977,688,22.48
27014091,186,8.61
27796219,122,11.99
28661153,325,9.55
34693504,120,15.63
26918640,232,15.23
27051499,112,0
26675332,168,11.43
27454232,132,11.65
27104043,248,26.85
26918639,132,15.23
27981722,178,4.73
26842995,264,11.61
27056719,118,0.88
29700592,115,19.62
29130643,477,32.41
28894009,915,9.88
33044840,359,4.22
29888922,409,13.03
29013791,485,6.05
27318751,305,21.12
32948392,165,12.82
27166064,188,5.06
29486952,881,20.18
29096296,365,5.86
26788238,90,1.8
28286168,1546,14.49
27030498,502,0
32021248,318,6.43
28674767,310,1.82
28955746,338,6.21
26768742,324,3.58
35031325,3004,11.85
29567250,321,7.85
29162313,439,2.33
29052345,297,68.7
27878009,259,11.67
27493290,196,10.71
26710753,1014,10.92
28684563,282,4.54
27138138,323,5.86
27288123,149,3.28
28003750,316,9.54
32262119,295,1.98
28114293,358,1
27764486,918,22.79
27474646,383,5.9
26941387,612,13
27578650,1,0
27474645,383,4.38
28763585,314,14.59
31116873,203,2.14
34694518,374,15.83
26771946,1007,35.52
26848898,168,6.12
28021892,91,10.06
26888194,987,7.5
29695577,1118,4.69
27695237,185,6.38
27859526,230,6.23
27803022,1122,0.24
28721633,98,15.95
29149573,165,13.11
29149572,165,13.11
29229683,352,0.37
27138597,149,13.11
26790584,165,0
33046421,1006,0.87
26790583,165,11.48
28881428,164,0.12
28067989,259,10.06
27119973,835,0
26922780,288,15.49
27837361,421,27.34
27129519,352,8.38
34477980,891,12.26
27494072,104,2.57
27937195,439,0
32882895,496,8.78
26806990,566,18.41
33941016,338,6.78
28559961,678,3.73
29922715,352,2.43
29020396,779,14.51
34477979,266,7.96
34356365,177,0.77
27349417,157,6.47
27878180,1469,5.69
26835484,253,3.66
26871562,122,0.37
33804621,153,7.26
28471169,1034,13.11
29874703,209,7.76
27724934,144,8.52
29874702,209,7.56
29890016,269,10.75
28894500,290,1.94
28871523,966,9.08
29103673,519,7.16
26733464,275,2.81
27485246,260,26.85
26930696,112,6.18
28673883,810,17.88
27379595,914,20.7
27878178,338,11.09
28045874,3977,4.84
27078343,615,13.92
30578497,417,4.68
30578496,417,4.68
28684559,282,9.01
33753367,310,2.19
33250299,1,2.78
31066366,230,7.91
27033556,118,21.37
32022676,423,5.53
28799455,201,10.39
27591662,426,30.92
31067584,319,5.62
31067585,678,5.62
29326971,359,2.59
26724981,362,1.17
26858022,244,7.01
27210770,6530,4.58
30930499,278,3.23
32847487,254,8.57
33753371,2689,2.19
26956602,244,2.97
28021585,127,9.69
28021586,127,9.69
28021587,127,9.69
29597072,288,24.25
26835393,583,9.15
28471172,334,17.24
26808914,143,1.78
26790781,417,6.37
27695324,886,12.73
31128650,217,0.82
