1209557,13010,86400,15.06,0.68
1209558,36151,259200,13.95,1.89
1209651,27882,86400,32.27,1.46
1209652,31294,259200,12.07,1.64
1209653,38170,345600,11.04,2
1209654,399,172800,0.23,0.02
1210262,6890,172800,3.99,0.36
1210263,28372,172800,16.42,1.49
1210264,19178,172800,11.1,1
1210266,45956,172800,26.59,2.41
1210268,15960,172800,9.24,0.84
1210269,14653,172800,8.48,0.77
1210270,79842,172800,46.2,4.18
1210361,51360,259200,19.81,2.69
1210362,25724,345600,7.44,1.35
1210363,32100,172800,18.58,1.68
1210364,57925,345600,16.76,3.03
1210366,32013,86400,37.05,1.68
1210368,6600,172800,3.82,0.35
1210463,5986,172800,3.46,0.31
1210464,2245,86400,2.6,0.12
1210466,14301,259200,5.52,0.75
1210467,58606,345600,16.96,3.07
1210468,17824,172800,10.31,0.93
1210469,24953,172800,14.44,1.31
1210471,83444,172800,48.29,4.37
1210561,9298,345600,2.69,0.49
1210661,7226,259200,2.79,0.38
1210762,32134,172800,18.6,1.68
1210861,75880,172800,43.91,3.97
1211161,52152,259200,20.12,2.73
1212062,13667,259200,5.27,0.72
1212063,55159,345600,15.96,2.89
1212065,14605,259200,5.63,0.76
1212066,44556,172800,25.78,2.33
1212161,25412,86400,29.41,1.33
1212162,900,259200,0.35,0.05
1212163,39001,172800,22.57,2.04
1212164,5747,259200,2.22,0.3
1212165,4268,172800,2.47,0.22
1212261,59647,259200,23.01,3.12
1212263,39481,172800,22.85,2.07
1213161,11061,259200,4.27,0.58
1213162,13724,172800,7.94,0.72
1213163,6778,259200,2.61,0.35
1213164,27906,172800,16.15,1.46
1213165,7162,172800,4.14,0.37
1213168,6265,172800,3.63,0.33
1213261,73037,259200,28.18,3.82
1213262,20759,172800,12.01,1.09
1213263,8540,259200,3.29,0.45
1213264,41598,172800,24.07,2.18
1213266,67821,259200,26.17,3.55
1213267,6134,172800,3.55,0.32
1213268,20589,172800,11.91,1.08
1213269,5031,86400,5.82,0.26
1213361,29087,172800,16.83,1.52
1213362,15012,172800,8.69,0.79
1213363,21873,172800,12.66,1.14
1213364,11661,172800,6.75,0.61
1213365,15930,172800,9.22,0.83
1213366,825,259200,0.32,0.04
1213367,3952,259200,1.52,0.21
1213368,21141,259200,8.16,1.11
1213369,81464,259200,31.43,4.26
1213371,49685,172800,28.75,2.6
1213372,93480,172800,54.1,4.89
