27166063,336,5.06
28908922,234,6.82
27909088,338,11.59
28686595,119,13.02
27339817,107,3.7
27142411,1,48.5
27714263,139,17.64
27178170,142,15.54
27941778,587,12.3
33624130,871,16.26
27858928,522,14.98
26917175,98,10.01
27354924,188,30.63
27076531,349,10.1
27050544,1,9.46
31574958,2006,6.86
26800722,565,22.68
29366096,126,2.29
34974198,115,2.54
27820663,288,13.16
29051821,165,21.4
27149052,395,13.64
27139995,181,28.99
35031325,296,11.85
26992920,141,4.86
27258177,165,7.59
28665783,330,6.9
26710753,1014,10.92
27120453,242,6.99
28670695,288,0.62
27288123,149,3.28
31743937,351,3.08
29312809,364,5.75
32107184,121,17.33
29731044,453,16.22
27708033,1077,10.5
29312807,364,5.75
28176764,158,13.59
26944055,843,10.05
27764486,259,22.79
26725247,275,6.06
27578650,1,0
26914128,107,2.98
27502283,139,8.11
33262080,98,0
27382060,127,9.82
27602493,524,8.37
27281040,136,3.72
27714563,142,5.36
29549838,630,4.65
29838166,783,20.2
29414923,612,6.7
27855280,234,13.85
27564566,113,5.74
32371747,310,2.44
31330784,459,7.43
26951903,1,17.14
29313639,338,15.16
27609177,141,2.4
27636011,152,10.74
26753629,7377,3.9
27859526,230,6.23
28709493,371,0.87
33490035,145,11.28
35207267,369,9.93
26934003,171,9.59
26662638,168,9.93
28960673,127,10.16
28721633,98,15.95
28154651,98,5.78
34793533,485,3.08
34063378,145,0.51
28154652,98,5.78
28151382,1,24.61
26880919,149,10.64
26628524,390,16.73
28160401,90,0.84
27155595,1,9.99
27694315,162,1.72
33046421,1,0.87
28507286,596,28.78
27581445,118,7.65
27581443,118,7.65
27581444,118,9.58
32826039,628,17.53
27445225,382,11.17
26695129,368,12.33
28021955,596,8.27
26894053,186,12.92
28021956,596,8.27
30265930,150,3.69
29058491,127,3.16
26957710,330,15.22
28581372,135,7.56
27901678,234,9.16
26859171,1,7.27
28342276,773,14.47
28627733,596,7.42
28021953,127,8.27
28111597,786,19.44
27332411,446,1.74
32169882,596,40.52
28497556,171,14.24
27410516,435,2.97
32950700,318,2.18
26871562,122,0.37
29015405,127,8.69
27636874,340,1.11
29874703,209,7.76
31502089,1123,8.42
26808788,147,6.43
27724934,144,8.52
29183476,308,9.28
29874702,209,7.56
28637897,8077,7.33
27809420,117,9.32
31882953,123,12.32
28338904,126,8.38
31882954,123,6.32
26693570,1,6.07
29612570,51,3.36
26986816,479,6.94
27401241,266,14.74
28479717,297,3.19
27379595,118,20.7
27078343,615,13.92
26918905,1089,7.48
28846436,91,15.33
27014091,652,8.61
27880711,165,2.76
27387432,401,6.24
26809327,90,1.8
29201599,634,4.51
29189505,128,6.73
26691261,121,4.29
31066366,230,7.91
34693504,120,15.63
28014482,143,13.66
26841256,368,8.15
28920154,122,19.69
28720334,610,8.16
28576961,948,21.78
29152779,1133,9.23
27051499,112,0
27217556,67,8.26
26738201,201,13.17
28067659,522,0
29550622,305,5.23
28621337,1,0
28588940,90,3.3
28932186,319,11.96
32823610,117,16.74
26921647,592,7.37
26769971,132,7.91
27056719,118,0.88
29700592,115,19.62
29130643,477,32.41
28332744,217,26.4
27021081,1,1.86
33753371,164,2.19
27600950,390,2.02
28021585,127,9.69
28021586,127,9.69
26905504,1,5.99
28021587,127,9.69
26933106,266,8.83
28160720,385,0
28128468,774,34.83
29152783,1,17.31
27180210,392,7.17
27387271,1065,0.67
33224363,616,18.1
26790781,853,6.37
