1209557,31855,86400,36.87,1.58
1209558,30282,259200,11.68,1.5
1209651,30673,86400,35.5,1.52
1209652,30048,259200,11.59,1.49
1209653,40419,345600,11.7,2
1209654,399,172800,0.23,0.02
1210261,694,86400,0.8,0.03
1210262,341,172800,0.2,0.02
1210263,27719,172800,16.04,1.37
1210264,13201,172800,7.64,0.65
1210266,54365,172800,31.46,2.7
1210267,36011,86400,41.68,1.79
1210268,44051,172800,25.49,2.18
1210269,14762,172800,8.54,0.73
1210270,20648,172800,11.95,1.02
1210361,46307,259200,17.87,2.3
1210362,5899,345600,1.71,0.29
1210363,6253,172800,3.62,0.31
1210364,32420,345600,9.38,1.61
1210366,29869,86400,34.57,1.48
1210367,51070,86400,59.11,2.53
1210463,47109,172800,27.26,2.34
1210464,829,86400,0.96,0.04
1210466,9169,259200,3.54,0.45
1210467,27913,345600,8.08,1.38
1210468,9036,172800,5.23,0.45
1210469,43139,172800,24.96,2.14
1210471,106907,172800,61.87,5.3
1210561,18808,345600,5.44,0.93
1210661,9435,259200,3.64,0.47
1210762,19896,172800,11.51,0.99
1210763,3802,259200,1.47,0.19
1210764,5997,86400,6.94,0.3
1210861,128249,172800,74.22,6.36
1212062,5858,259200,2.26,0.29
1212063,53774,345600,15.56,2.67
1212066,55399,172800,32.06,2.75
1212161,124077,86400,143.61,6.15
1212162,7664,259200,2.96,0.38
1212163,30060,172800,17.4,1.49
1212164,3655,259200,1.41,0.18
1212261,25712,259200,9.92,1.28
1212263,8985,172800,5.2,0.45
1212264,6712,259200,2.59,0.33
1213161,23767,259200,9.17,1.18
1213163,40862,259200,15.76,2.03
1213164,22524,172800,13.03,1.12
1213166,7409,259200,2.86,0.37
1213168,42608,172800,24.66,2.11
1213261,3809,259200,1.47,0.19
1213262,11634,172800,6.73,0.58
1213264,9805,172800,5.67,0.49
1213266,56808,259200,21.92,2.82
1213267,5929,172800,3.43,0.29
1213268,57611,172800,33.34,2.86
1213269,6353,86400,7.35,0.32
1213361,76639,172800,44.35,3.8
1213362,28780,172800,16.66,1.43
1213363,54377,172800,31.47,2.7
1213365,17832,172800,10.32,0.88
1213366,825,259200,0.32,0.04
1213367,6629,259200,2.56,0.33
1213368,41019,259200,15.83,2.03
1213369,65659,259200,25.33,3.26
1213371,56847,172800,32.9,2.82
1213372,49137,172800,28.44,2.44
1213373,30125,345600,8.72,1.49
