29192138,356,21.45
28634356,349,11.2
27277649,193,10.94
27518969,171,21.37
27703922,596,10.54
28704787,234,13.85
29466384,4422,13.01
27564862,238,58.17
29183787,718,10.66
27139995,181,28.99
27741199,596,10.81
27840954,297,18.77
29056301,334,16.23
33681735,485,5.67
33681734,485,0
27884882,98,14.2
28168860,233,11.41
27071639,126,8.47
27180197,688,0.99
26867543,344,10.23
28096589,259,5.65
27760840,305,8.73
28008802,146,3.81
29312809,364,5.75
32107184,121,17.33
29192140,356,21.45
29312807,364,5.75
26857866,653,42.32
27445140,596,0.25
28581959,570,19.69
32870411,318,11.64
27098904,266,14.74
33262080,98,0
26760170,3215,8.26
27937051,136,10.97
30437737,364,5.78
34617832,690,7.52
27812228,300,0.82
29414923,691,6.7
28254074,161,15.92
29067223,781,5.59
27219414,163,8.95
28154665,299,5.5
27239397,98,20.35
29776267,318,11.64
32952841,360,11.02
27619637,89,5.4
27619638,89,5.4
32674453,288,20.09
34063378,145,0.51
28154652,98,5.78
28151382,1,24.61
28235682,455,18.32
30437736,364,5.78
27295278,342,4.09
28339980,1098,8.15
29339050,548,0.37
27467290,278,10.76
27148279,150,14.53
27929850,619,3.29
28623142,344,2.64
28076797,692,1.27
29466066,1001,14.02
27072893,240,11.76
27415808,557,1.24
26923421,406,5.16
26785687,1188,11.38
32285566,91,6.51
27540731,439,9.57
27527512,573,0
28810916,378,11.65
31386721,311,3.68
26808788,147,6.43
29183476,308,9.28
29317060,587,15.06
26695510,248,11.26
26696720,254,3.77
28763578,314,14.59
27941963,1052,0
26693570,1,6.07
26880577,1093,0
28923301,164,8.09
28031638,431,8.67
28057804,301,13.94
28479717,297,3.19
26695508,248,7.08
28677063,193,6.14
33025684,835,11.21
29690807,269,14.56
27903046,587,12.3
26970500,373,0.57
28920154,122,19.69
28031309,669,10.16
28751477,739,6.71
28416528,351,24.58
28415797,326,17.13
29550622,305,5.23
26696719,254,3.77
34889448,929,8.15
27092681,266,9.16
27548451,247,23.53
33015509,464,11.43
27164892,2856,14.67
27704722,957,6.12
26996423,326,13.48
26933106,266,8.83
26933107,266,8.83
27121291,369,12.65
27003666,275,4
27468661,305,6.24
29059307,163,9.1
28439751,98,15.95
26793155,368,12.33
26769049,1,21.7
27875548,338,10.93
26889733,835,9.31
26905506,701,5.99
26736116,1813,13
27308508,259,11.38
28053912,290,6.56
27050544,1,9.46
